,win%,Hand,Suit,Status
0,0.5106,2H 2C,pair,2 2 pair
1,0.3464,2H 3C,Offsuite,2 3 Offsuite
2,0.3564,2H 4C,Offsuite,2 4 Offsuite
3,0.3688,2H 5C,Offsuite,2 5 Offsuite
4,0.3768,2H 6C,Offsuite,2 6 Offsuite
5,0.377,2H 7C,Offsuite,2 7 Offsuite
6,0.3986,2H 8C,Offsuite,2 8 Offsuite
7,0.4236,2H 9C,Offsuite,2 9 Offsuite
8,0.4526,2H TC,Offsuite,2 T Offsuite
9,0.4678,2H JC,Offsuite,2 J Offsuite
10,0.4814,2H QC,Offsuite,2 Q Offsuite
11,0.5366,2H KC,Offsuite,2 K Offsuite
12,0.581,2H AC,Offsuite,2 A Offsuite
13,0.5432,3H 3C,pair,3 3 pair
14,0.3766,3H 4C,Offsuite,3 4 Offsuite
15,0.4008,3H 5C,Offsuite,3 5 Offsuite
16,0.3844,3H 6C,Offsuite,3 6 Offsuite
17,0.391,3H 7C,Offsuite,3 7 Offsuite
18,0.4032,3H 8C,Offsuite,3 8 Offsuite
19,0.4182,3H 9C,Offsuite,3 9 Offsuite
20,0.4526,3H TC,Offsuite,3 T Offsuite
21,0.4776,3H JC,Offsuite,3 J Offsuite
22,0.5096,3H QC,Offsuite,3 Q Offsuite
23,0.5388,3H KC,Offsuite,3 K Offsuite
24,0.5764,3H AC,Offsuite,3 A Offsuite
25,0.3888,3H 2H,suited,3 2 suited
26,0.5814,4H 4C,pair,4 4 pair
27,0.4176,4H 5C,Offsuite,4 5 Offsuite
28,0.4154,4H 6C,Offsuite,4 6 Offsuite
29,0.404,4H 7C,Offsuite,4 7 Offsuite
30,0.428,4H 8C,Offsuite,4 8 Offsuite
31,0.4406,4H 9C,Offsuite,4 9 Offsuite
32,0.4506,4H TC,Offsuite,4 T Offsuite
33,0.4812,4H JC,Offsuite,4 J Offsuite
34,0.5146,4H QC,Offsuite,4 Q Offsuite
35,0.5482,4H KC,Offsuite,4 K Offsuite
36,0.5798,4H AC,Offsuite,4 A Offsuite
37,0.4074,4H 2H,suited,4 2 suited
38,0.3976,4H 3H,suited,4 3 suited
39,0.6186,5H 5C,pair,5 5 pair
40,0.4184,5H 6C,Offsuite,5 6 Offsuite
41,0.4314,5H 7C,Offsuite,5 7 Offsuite
42,0.4478,5H 8C,Offsuite,5 8 Offsuite
43,0.4516,5H 9C,Offsuite,5 9 Offsuite
44,0.4694,5H TC,Offsuite,5 T Offsuite
45,0.484,5H JC,Offsuite,5 J Offsuite
46,0.5186,5H QC,Offsuite,5 Q Offsuite
47,0.5564,5H KC,Offsuite,5 K Offsuite
48,0.5988,5H AC,Offsuite,5 A Offsuite
49,0.407,5H 2H,suited,5 2 suited
50,0.419,5H 3H,suited,5 3 suited
51,0.4368,5H 4H,suited,5 4 suited
52,0.64,6H 6C,pair,6 6 pair
53,0.4458,6H 7C,Offsuite,6 7 Offsuite
54,0.4694,6H 8C,Offsuite,6 8 Offsuite
55,0.47,6H 9C,Offsuite,6 9 Offsuite
56,0.4872,6H TC,Offsuite,6 T Offsuite
57,0.496,6H JC,Offsuite,6 J Offsuite
58,0.5392,6H QC,Offsuite,6 Q Offsuite
59,0.5548,6H KC,Offsuite,6 K Offsuite
60,0.5958,6H AC,Offsuite,6 A Offsuite
61,0.397,6H 2H,suited,6 2 suited
62,0.4212,6H 3H,suited,6 3 suited
63,0.4592,6H 4H,suited,6 4 suited
64,0.4734,6H 5H,suited,6 5 suited
65,0.665,7H 7C,pair,7 7 pair
66,0.4804,7H 8C,Offsuite,7 8 Offsuite
67,0.4804,7H 9C,Offsuite,7 9 Offsuite
68,0.4956,7H TC,Offsuite,7 T Offsuite
69,0.5136,7H JC,Offsuite,7 J Offsuite
70,0.539,7H QC,Offsuite,7 Q Offsuite
71,0.5614,7H KC,Offsuite,7 K Offsuite
72,0.6014,7H AC,Offsuite,7 A Offsuite
73,0.4086,7H 2H,suited,7 2 suited
74,0.4334,7H 3H,suited,7 3 suited
75,0.4452,7H 4H,suited,7 4 suited
76,0.463,7H 5H,suited,7 5 suited
77,0.4832,7H 6H,suited,7 6 suited
78,0.6992,8H 8C,pair,8 8 pair
79,0.5046,8H 9C,Offsuite,8 9 Offsuite
80,0.518,8H TC,Offsuite,8 T Offsuite
81,0.5346,8H JC,Offsuite,8 J Offsuite
82,0.5436,8H QC,Offsuite,8 Q Offsuite
83,0.568,8H KC,Offsuite,8 K Offsuite
84,0.6078,8H AC,Offsuite,8 A Offsuite
85,0.4338,8H 2H,suited,8 2 suited
86,0.4178,8H 3H,suited,8 3 suited
87,0.4538,8H 4H,suited,8 4 suited
88,0.4734,8H 5H,suited,8 5 suited
89,0.487,8H 6H,suited,8 6 suited
90,0.5092,8H 7H,suited,8 7 suited
91,0.7252,9H 9C,pair,9 9 pair
92,0.5316,9H TC,Offsuite,9 T Offsuite
93,0.5542,9H JC,Offsuite,9 J Offsuite
94,0.5622,9H QC,Offsuite,9 Q Offsuite
95,0.5888,9H KC,Offsuite,9 K Offsuite
96,0.633,9H AC,Offsuite,9 A Offsuite
97,0.4376,9H 2H,suited,9 2 suited
98,0.4552,9H 3H,suited,9 3 suited
99,0.4604,9H 4H,suited,9 4 suited
100,0.4852,9H 5H,suited,9 5 suited
101,0.4848,9H 6H,suited,9 6 suited
102,0.5184,9H 7H,suited,9 7 suited
103,0.5328,9H 8H,suited,9 8 suited
104,0.7578,TH TC,pair,T T pair
105,0.5692,TH JC,Offsuite,T J Offsuite
106,0.5816,TH QC,Offsuite,T Q Offsuite
107,0.6072,TH KC,Offsuite,T K Offsuite
108,0.6436,TH AC,Offsuite,T A Offsuite
109,0.4608,TH 2H,suited,T 2 suited
110,0.4808,TH 3H,suited,T 3 suited
111,0.4826,TH 4H,suited,T 4 suited
112,0.5008,TH 5H,suited,T 5 suited
113,0.502,TH 6H,suited,T 6 suited
114,0.5196,TH 7H,suited,T 7 suited
115,0.547,TH 8H,suited,T 8 suited
116,0.5654,TH 9H,suited,T 9 suited
117,0.774,JH JC,pair,J J pair
118,0.594,JH QC,Offsuite,J Q Offsuite
119,0.6246,JH KC,Offsuite,J K Offsuite
120,0.642,JH AC,Offsuite,J A Offsuite
121,0.4936,JH 2H,suited,J 2 suited
122,0.5084,JH 3H,suited,J 3 suited
123,0.5258,JH 4H,suited,J 4 suited
124,0.5298,JH 5H,suited,J 5 suited
125,0.5172,JH 6H,suited,J 6 suited
126,0.5372,JH 7H,suited,J 7 suited
127,0.555,JH 8H,suited,J 8 suited
128,0.568,JH 9H,suited,J 9 suited
129,0.585,JH TH,suited,J T suited
130,0.8006,QH QC,pair,Q Q pair
131,0.624,QH KC,Offsuite,Q K Offsuite
132,0.643,QH AC,Offsuite,Q A Offsuite
133,0.528,QH 2H,suited,Q 2 suited
134,0.5182,QH 3H,suited,Q 3 suited
135,0.5512,QH 4H,suited,Q 4 suited
136,0.5518,QH 5H,suited,Q 5 suited
137,0.5574,QH 6H,suited,Q 6 suited
138,0.5568,QH 7H,suited,Q 7 suited
139,0.5648,QH 8H,suited,Q 8 suited
140,0.5838,QH 9H,suited,Q 9 suited
141,0.6162,QH TH,suited,Q T suited
142,0.6102,QH JH,suited,Q J suited
143,0.8192,KH KC,pair,K K pair
144,0.66,KH AC,Offsuite,K A Offsuite
145,0.548,KH 2H,suited,K 2 suited
146,0.5636,KH 3H,suited,K 3 suited
147,0.5618,KH 4H,suited,K 4 suited
148,0.574,KH 5H,suited,K 5 suited
149,0.5898,KH 6H,suited,K 6 suited
150,0.5888,KH 7H,suited,K 7 suited
151,0.6084,KH 8H,suited,K 8 suited
152,0.621,KH 9H,suited,K 9 suited
153,0.6298,KH TH,suited,K T suited
154,0.6428,KH JH,suited,K J suited
155,0.6376,KH QH,suited,K Q suited
156,0.8464,AH AC,pair,A A pair
157,0.594,AH 2H,suited,A 2 suited
158,0.5888,AH 3H,suited,A 3 suited
159,0.61,AH 4H,suited,A 4 suited
160,0.6164,AH 5H,suited,A 5 suited
161,0.6124,AH 6H,suited,A 6 suited
162,0.6246,AH 7H,suited,A 7 suited
163,0.622,AH 8H,suited,A 8 suited
164,0.641,AH 9H,suited,A 9 suited
165,0.6682,AH TH,suited,A T suited
166,0.6452,AH JH,suited,A J suited
167,0.6716,AH QH,suited,A Q suited
168,0.6822,AH KH,suited,A K suited
